commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate
801,5700,0,0,9422282,1479782,764000,9422282,0,0,1,2021-09-02T00:00:00
801,5700,139752,139752,10227741,945267,945211,10367493,0,0,1,2021-09-09T00:00:00
801,5700,66207,205959,10785684,756150,624150,10991643,0,0,1,2021-09-16T00:00:00
801,5700,292213,498172,11269953,643412,776482,11768125,0,0,1,2021-09-23T00:00:00
801,5700,276793,774965,11664467,540307,671307,12439432,0,0,1,2021-09-30T00:00:00
801,5700,1285471,2060436,11019009,381153,640013,13079445,0,0,1,2021-10-07T00:00:00
801,5700,1659520,3719956,11243894,1364746,1884405,14963850,0,0,1,2021-10-14T00:00:00
801,5700,1790614,5510570,10534266,591320,1080986,16044836,0,0,1,2021-10-21T00:00:00
801,5700,1864486,7375056,9877104,775283,1207324,17252160,0,0,1,2021-10-28T00:00:00
801,5700,2267748,9642804,8478638,371323,869282,18121442,0,0,1,2021-11-04T00:00:00
801,5700,1657235,11300039,7548875,409523,727472,18848914,0,0,1,2021-11-11T00:00:00
801,5700,1410739,12710778,7020598,445924,882462,19731376,0,0,1,2021-11-18T00:00:00
801,5700,1410230,14121008,6267466,285792,657098,20388474,0,0,1,2021-11-25T00:00:00
801,5700,1470581,15591589,5690245,500454,893360,21281834,0,0,1,2021-12-02T00:00:00
801,5700,1037697,16629286,5638391,589838,985843,22267677,0,0,1,2021-12-09T00:00:00
801,5700,1050583,17679869,5318186,403686,730378,22998055,0,0,1,2021-12-16T00:00:00
801,5700,944590,18624459,4806415,114112,432819,23430874,0,0,1,2021-12-23T00:00:00
801,5700,912952,19537411,4247341,112568,353878,23784752,0,0,1,2021-12-30T00:00:00
801,5700,489028,20026439,4060108,165274,301795,24086547,63000,63000,1,2022-01-06T00:00:00
801,5700,1251301,21277740,3605856,138889,797049,24883596,525000,462000,1,2022-01-13T00:00:00
801,5700,844430,22122170,3301645,410868,540219,25423815,723000,198000,1,2022-01-20T00:00:00
801,5700,723371,22845541,2549720,170686,-28554,25395261,1383000,660000,1,2022-01-27T00:00:00
801,5700,726637,23572178,2121226,238859,298143,25693404,1699000,316000,1,2022-02-03T00:00:00
801,5700,575714,24147892,1770028,226770,224516,25917920,2575000,876000,1,2022-02-10T00:00:00
801,5700,392974,24540866,1668433,120674,291379,26209299,3176000,601000,1,2022-02-17T00:00:00
801,5700,410682,24951548,1242755,124200,-14996,26194303,4436000,1260000,1,2022-02-24T00:00:00
801,5700,304595,25256143,2034567,1030923,1096407,27290710,5233000,797000,1,2022-03-03T00:00:00
801,5700,370154,25626297,2059957,396246,395544,27686254,5639000,406000,1,2022-03-10T00:00:00
801,5700,161686,25787983,1930749,32503,32478,27718732,5626000,-13000,1,2022-03-17T00:00:00
801,5700,331871,26119854,2192077,475780,593199,28311931,5626000,0,1,2022-03-24T00:00:00
801,5700,458761,26578615,2168981,371965,435665,28747596,5626000,0,1,2022-03-31T00:00:00
801,5700,415347,26993962,2189141,273104,435507,29183103,5893000,267000,1,2022-04-07T00:00:00
801,5700,294008,27287970,2391521,435388,496388,29679491,6562000,669000,1,2022-04-14T00:00:00
801,5700,279866,27567836,2276763,77437,165108,29844599,7030000,468000,1,2022-04-21T00:00:00
801,5700,177982,27745818,2299546,135511,200765,30045364,7298000,268000,1,2022-04-28T00:00:00
801,5700,147480,27893298,2157294,6482,5228,30050592,7298000,0,1,2022-05-05T00:00:00
801,5700,230801,28124099,2319092,335599,392599,30443191,7306000,8000,1,2022-05-12T00:00:00
801,5700,169716,28293815,2040997,15621,-108379,30334812,7306000,0,1,2022-05-19T00:00:00
801,5700,69976,28363791,1898789,0,-72232,30262580,7306000,0,1,2022-05-26T00:00:00
801,5700,14924,28378715,2012726,139722,128861,30391441,7567000,261000,1,2022-06-02T00:00:00
801,5700,74604,28453319,2073560,187000,135438,30526879,7699000,132000,1,2022-06-09T00:00:00
801,5700,73175,28526494,2006685,204300,6300,30533179,7765000,66000,1,2022-06-16T00:00:00
801,5700,93544,28620038,1929543,17402,16402,30549581,7765000,0,1,2022-06-23T00:00:00
801,5700,74201,28694239,1796174,7132,-59168,30490413,7765000,0,1,2022-06-30T00:00:00
801,5700,84835,28779074,1580580,1395,-130759,30359654,7855000,90000,1,2022-07-07T00:00:00
801,5700,139971,28919045,1587538,21970,146929,30506583,7991000,136000,1,2022-07-14T00:00:00
801,5700,3024,28922069,1553666,41997,-30848,30475735,8529000,538000,1,2022-07-21T00:00:00
801,5700,52761,28974830,1625747,76092,124842,30600577,8673000,144000,1,2022-07-28T00:00:00
801,5700,247540,29222370,1311841,12384,-66366,30534211,8868000,195000,1,2022-08-04T00:00:00
801,5700,284991,29507361,1107686,11085,80836,30615047,9647000,779000,1,2022-08-11T00:00:00
801,5700,0,29507361,1107686,0,0,30615047,9647000,0,1,2022-08-18T00:00:00
801,5700,514868,30022229,789933,136111,197115,30812162,11442505,1795505,1,2022-08-25T00:00:00
801,5700,196760,30218989,596134,2961,2961,30815123,12731236,692597,1,2022-09-01T00:00:00
