commodityCode,countryCode,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,currentMYNetSales,currentMYTotalCommitment,nextMYOutstandingSales,nextMYNetSales,unitId,weekEndingDate
801,2010,10519,10519,1509298,170263,79102,1519817,0,0,1,2021-09-02T00:00:00
801,2010,68670,79189,1453744,2902,13116,1532933,0,0,1,2021-09-09T00:00:00
801,2010,83841,163030,1455206,39114,85303,1618236,0,0,1,2021-09-16T00:00:00
801,2010,33913,196943,1464738,43448,43445,1661681,0,0,1,2021-09-23T00:00:00
801,2010,79189,276132,1406774,22817,21225,1682906,0,0,1,2021-09-30T00:00:00
801,2010,68881,345013,1611742,274438,273849,1956755,0,0,1,2021-10-07T00:00:00
801,2010,97526,442539,1524418,10832,10202,1966957,0,0,1,2021-10-14T00:00:00
801,2010,187615,630154,1430708,99703,93905,2060862,0,0,1,2021-10-21T00:00:00
801,2010,178648,808802,1409422,158471,157362,2218224,0,0,1,2021-10-28T00:00:00
801,2010,87270,896072,1402818,80981,80666,2298890,0,0,1,2021-11-04T00:00:00
801,2010,123208,1019280,1315070,36394,35460,2334350,0,0,1,2021-11-11T00:00:00
801,2010,112671,1131951,1370576,169251,168177,2502527,0,0,1,2021-11-18T00:00:00
801,2010,94505,1226456,1275927,2622,-144,2502383,0,0,1,2021-11-25T00:00:00
801,2010,126886,1353342,1245839,98382,96798,2599181,0,0,1,2021-12-02T00:00:00
801,2010,137938,1491280,1185641,81115,77740,2676921,0,0,1,2021-12-09T00:00:00
801,2010,112721,1604001,1168044,49260,95124,2772045,0,0,1,2021-12-16T00:00:00
801,2010,61754,1665755,1123090,50663,16800,2788845,0,0,1,2021-12-23T00:00:00
801,2010,56651,1722406,1250358,184114,183919,2972764,0,0,1,2021-12-30T00:00:00
801,2010,107671,1830077,1330539,189246,187852,3160616,0,0,1,2022-01-06T00:00:00
801,2010,148798,1978875,1535473,309299,353732,3514348,0,0,1,2022-01-13T00:00:00
801,2010,111195,2090070,1769604,412515,345326,3859674,0,0,1,2022-01-20T00:00:00
801,2010,78961,2169031,2047246,401094,356603,4216277,34000,34000,1,2022-01-27T00:00:00
801,2010,110146,2279177,2148194,211963,211094,4427371,34000,0,1,2022-02-03T00:00:00
801,2010,120559,2399736,2050014,24595,22379,4449750,44000,10000,1,2022-02-10T00:00:00
801,2010,135438,2535174,2008488,95394,93912,4543662,91500,47500,1,2022-02-17T00:00:00
801,2010,81370,2616544,1990089,75949,62971,4606633,91500,0,1,2022-02-24T00:00:00
801,2010,75791,2692335,2057017,222695,142719,4749352,123500,32000,1,2022-03-03T00:00:00
801,2010,120560,2812895,1992700,59707,56243,4805595,123500,0,1,2022-03-10T00:00:00
801,2010,138428,2951323,1929324,76100,75052,4880647,123500,0,1,2022-03-17T00:00:00
801,2010,63306,3014629,1866542,669,524,4881171,177500,54000,1,2022-03-24T00:00:00
801,2010,74343,3088972,1821776,31317,29577,4910748,385500,208000,1,2022-03-31T00:00:00
801,2010,57100,3146072,1787165,26756,22489,4933237,385500,0,1,2022-04-07T00:00:00
801,2010,102252,3248324,1694331,11543,9418,4942655,405500,20000,1,2022-04-14T00:00:00
801,2010,81367,3329691,1701027,91024,88063,5030718,517500,112000,1,2022-04-21T00:00:00
801,2010,81682,3411373,1682983,82076,63638,5094356,535500,18000,1,2022-04-28T00:00:00
801,2010,89483,3500856,1614116,23344,20616,5114972,535500,0,1,2022-05-05T00:00:00
801,2010,141452,3642308,1488557,22781,15893,5130865,547500,12000,1,2022-05-12T00:00:00
801,2010,90344,3732652,1452881,57734,54668,5185533,642500,95000,1,2022-05-19T00:00:00
801,2010,27186,3759838,1476556,50861,50861,5236394,686500,44000,1,2022-05-26T00:00:00
801,2010,190203,3950041,1315557,36202,29204,5265598,696500,10000,1,2022-06-02T00:00:00
801,2010,184756,4134797,1189748,17430,58947,5324545,706400,9900,1,2022-06-09T00:00:00
801,2010,121529,4256326,1066300,12545,-1919,5322626,699778,-6622,1,2022-06-16T00:00:00
801,2010,72833,4329159,995298,2114,1831,5324457,699778,0,1,2022-06-23T00:00:00
801,2010,125332,4454491,918856,3081,48890,5373347,800778,101000,1,2022-06-30T00:00:00
801,2010,68892,4523383,860384,11096,10420,5383767,800778,0,1,2022-07-07T00:00:00
801,2010,56778,4580161,816765,13470,13159,5396926,827778,27000,1,2022-07-14T00:00:00
801,2010,163886,4744047,667350,15527,14471,5411397,833778,6000,1,2022-07-21T00:00:00
801,2010,162721,4906768,569471,17891,64842,5476239,877848,44070,1,2022-07-28T00:00:00
801,2010,50017,4956785,517689,271,-1765,5474474,916439,38591,1,2022-08-04T00:00:00
801,2010,126227,5083012,381602,2631,-9860,5464614,1081732,165293,1,2022-08-11T00:00:00
801,2010,0,5083012,381602,0,0,5464614,1081732,0,1,2022-08-18T00:00:00
801,2010,240873,5323885,154136,20838,13407,5478021,1378394,296662,1,2022-08-25T00:00:00
801,2010,121142,5445027,30997,1341,-1997,5476024,1488937,79546,1,2022-09-01T00:00:00
